            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2471633.500000000, A.D. 2055-Jan-01 00:00:00.0000, -2.694217802903826E+09, -4.797025508198059E+08, -1.720102931404775E+08,  1.212439157237799E+00, -6.416571082390541E+00, -2.827662913006074E+00,
2471998.500000000, A.D. 2056-Jan-01 00:00:00.0000, -2.647396739113562E+09, -6.803091892348740E+08, -2.605310607012101E+08,  1.754552446091344E+00, -6.298907176222717E+00, -2.783711698541452E+00,
2472364.500000000, A.D. 2057-Jan-01 00:00:00.0000, -2.583487372518206E+09, -8.771072371813546E+08, -3.476252353677972E+08,  2.284446864439924E+00, -6.141192693326159E+00, -2.721908414963298E+00,
2472729.500000000, A.D. 2058-Jan-01 00:00:00.0000, -2.503326954476234E+09, -1.067793266547229E+09, -4.322721356176553E+08,  2.795862668277948E+00, -5.945798349742714E+00, -2.643528904674806E+00,
2473094.500000000, A.D. 2059-Jan-01 00:00:00.0000, -2.407362097464967E+09, -1.251739608007730E+09, -5.141905569565874E+08,  3.286566226740436E+00, -5.714178018459190E+00, -2.548996586303956E+00,
2473459.500000000, A.D. 2060-Jan-01 00:00:00.0000, -2.296295511325886E+09, -1.427836728133037E+09, -5.928846325454196E+08,  3.753304904668708E+00, -5.448404982027889E+00, -2.439262121918988E+00,
2473825.500000000, A.D. 2061-Jan-01 00:00:00.0000, -2.170563981840512E+09, -1.595490217509563E+09, -6.680878867258524E+08,  4.194326988479650E+00, -5.149928090936028E+00, -2.315043538821679E+00,
2474190.500000000, A.D. 2062-Jan-01 00:00:00.0000, -2.031743050443001E+09, -1.752819009854232E+09, -7.389542037422732E+08,  4.604671391600093E+00, -4.823037596792703E+00, -2.177638957019538E+00,
2474555.500000000, A.D. 2063-Jan-01 00:00:00.0000, -1.880471949781704E+09, -1.899412852595687E+09, -8.052949007446097E+08,  4.983342238061381E+00, -4.469550458921114E+00, -2.028129148756734E+00,
2474920.500000000, A.D. 2064-Jan-01 00:00:00.0000, -1.717780611664886E+09, -2.034476270818937E+09, -8.667470363176881E+08,  5.328527977960714E+00, -4.092256653466713E+00, -1.867687136320871E+00,
2475286.500000000, A.D. 2065-Jan-01 00:00:00.0000, -1.544267100549040E+09, -2.157621241866830E+09, -9.231321970571092E+08,  5.639471127098851E+00, -3.692921783177989E+00, -1.696918597697800E+00,
2475651.500000000, A.D. 2066-Jan-01 00:00:00.0000, -1.362011794769536E+09, -2.267557461930758E+09, -9.738558536157773E+08,  5.913083222689318E+00, -3.276527147977935E+00, -1.518435220459173E+00,
2476016.500000000, A.D. 2067-Jan-01 00:00:00.0000, -1.171718591925202E+09, -2.364117029678269E+09, -1.018834518002569E+09,  6.149337245240179E+00, -2.845125282299531E+00, -1.332881055123791E+00,
2476381.500000000, A.D. 2068-Jan-01 00:00:00.0000, -9.745792263944958E+08, -2.446874851140470E+09, -1.057865218111523E+09,  6.347358864557248E+00, -2.401748591326362E+00, -1.141497853865659E+00,
2476747.500000000, A.D. 2069-Jan-01 00:00:00.0000, -7.712428886804447E+08, -2.515667809297394E+09, -1.090867395678926E+09,  6.506859661145923E+00, -1.947932228887438E+00, -9.452335099615022E-01,
2477112.500000000, A.D. 2070-Jan-01 00:00:00.0000, -5.640442197262144E+08, -2.569877494738035E+09, -1.117537207156422E+09,  6.627289948711233E+00, -1.489179364344041E+00, -7.459230954278068E-01,
2477477.500000000, A.D. 2071-Jan-01 00:00:00.0000, -3.536549413197950E+08, -2.609556520102563E+09, -1.137888176536456E+09,  6.709074277565425E+00, -1.026890186183047E+00, -5.444225849383838E-01,
2477842.500000000, A.D. 2072-Jan-01 00:00:00.0000, -1.412868113189949E+08, -2.634635296251017E+09, -1.151872655880969E+09,  6.752609977897174E+00, -5.637061388152667E-01, -3.420392529537572E-01,
2478208.500000000, A.D. 2073-Jan-01 00:00:00.0000,  7.244733702862433E+07, -2.645136069206716E+09, -1.159491649341935E+09,  6.758893430743704E+00, -1.010450753799779E-01, -1.394254945711775E-01,
2478573.500000000, A.D. 2074-Jan-01 00:00:00.0000,  2.852009683128936E+08, -2.641095279471296E+09, -1.160727985584591E+09,  6.727888805454447E+00,  3.562240130883308E-01,  6.128801336621274E-02,
2478938.500000000, A.D. 2075-Jan-01 00:00:00.0000,  4.964077924416512E+08, -2.622731603305869E+09, -1.155669376966074E+09,  6.660852921383714E+00,  8.069875464769876E-01,  2.594870039318327E-01,
2479303.500000000, A.D. 2076-Jan-01 00:00:00.0000,  7.049490160487450E+08, -2.590287079272160E+09, -1.144405980806525E+09,  6.558923001737226E+00,  1.248996884955695E+00,  4.542544226641386E-01,
2479669.500000000, A.D. 2077-Jan-01 00:00:00.0000,  9.102960001072981E+08, -2.543925956341094E+09, -1.127002245407396E+09,  6.422681804519546E+00,  1.681282762645249E+00,  6.455785381792005E-01,
2480034.500000000, A.D. 2078-Jan-01 00:00:00.0000,  1.110279785230149E+09, -2.484274696510852E+09, -1.103701855524909E+09,  6.254365851645577E+00,  2.099654163203691E+00,  8.310783876351848E-01,
2480399.500000000, A.D. 2079-Jan-01 00:00:00.0000,  1.304465264712022E+09, -2.411655749511518E+09, -1.074639903209639E+09,  6.055150090204383E+00,  2.503452925418602E+00,  1.010708142152726E+00,
2480764.500000000, A.D. 2080-Jan-01 00:00:00.0000,  1.491897176807586E+09, -2.326553595809122E+09, -1.040015162437785E+09,  5.826515230016988E+00,  2.891010698387164E+00,  1.183771061518352E+00,
2481130.500000000, A.D. 2081-Jan-01 00:00:00.0000,  1.672151964175595E+09, -2.229222805601341E+09, -9.999332868952277E+08,  5.569200462783960E+00,  3.261767352808030E+00,  1.349808841259891E+00,
2481495.500000000, A.D. 2082-Jan-01 00:00:00.0000,  1.843389934241462E+09, -2.120783423704300E+09, -9.548589646653345E+08,  5.286461126621536E+00,  3.612108453083275E+00,  1.507177040918681E+00,
2481860.500000000, A.D. 2083-Jan-01 00:00:00.0000,  2.005312546908735E+09, -2.001618334764616E+09, -9.049557486749499E+08,  4.979010466766923E+00,  3.941729633831977E+00,  1.655886397699567E+00,
2482225.500000000, A.D. 2084-Jan-01 00:00:00.0000,  2.157169044318326E+09, -1.872399722859522E+09, -8.505074372165456E+08,  4.648441977924333E+00,  4.249494530678658E+00,  1.795337520880743E+00,
2482591.500000000, A.D. 2085-Jan-01 00:00:00.0000,  2.298633093038636E+09, -1.733442977499581E+09, -7.916475428237401E+08,  4.295517799918726E+00,  4.535106507775524E+00,  1.925308183483462E+00,
2482956.500000000, A.D. 2086-Jan-01 00:00:00.0000,  2.428287985664048E+09, -1.586248418524809E+09, -7.290130697961524E+08,  3.924150986659485E+00,  4.795898130477542E+00,  2.044935070334421E+00,
2483321.500000000, A.D. 2087-Jan-01 00:00:00.0000,  2.545949857341470E+09, -1.431217679059557E+09, -6.627773148668635E+08,  3.535105886132327E+00,  5.031884737155946E+00,  2.153908827594813E+00,
2483686.500000000, A.D. 2088-Jan-01 00:00:00.0000,  2.651090823237491E+09, -1.269146436626308E+09, -5.932812760221303E+08,  3.130324828267079E+00,  5.242239474458186E+00,  2.251825359869802E+00,
